player_name,matches_played,innings_batted,not_outs,runs_scored,highest_inns_score,batting_average,balls_faced,batting_strike_rate,hundreds_scored,fifties_scored,duckes_scored,boundary_fours,boundary_sixes
EJG Morgan,4.0,4,0,65,26,16.25,62,104.83,0,0,0,6,2
WA Mota,12.0,8,2,56,25,9.33,75,74.66,0,0,0,2,0
Mujeeb Ur Rahman,11.0,2,1,10,10*,10.00,7,142.85,0,0,1,2,0
NS Naik,2.0,2,0,23,22,11.50,31,74.19,0,0,0,1,0
KK Nair,13.0,12,0,301,54,25.08,221,136.19,0,2,0,23,13
T Natarajan,6.0,-,-,-,-,-,-,-,-,-,-,-,-
AM Nayar,14.0,13,3,106,24,10.60,116,91.37,0,0,2,11,1
MG Neser,1.0,-,-,-,-,-,-,-,-,-,-,-,-
AR Patel,68.0,51,15,686,44,19.05,542,126.56,0,0,4,37,32
IK Pathan,42.0,35,11,603,60,25.12,460,131.08,0,1,1,47,22
NLTC Perera,2.0,2,0,12,9,6.00,15,80.00,0,0,0,0,1
LA Pomersbach,12.0,12,5,251,79*,35.85,207,121.25,0,1,0,21,11
RR Powar,22.0,7,5,56,28*,28.00,51,109.80,0,0,0,6,1
CA Pujara,6.0,6,1,125,40*,25.00,124,100.80,0,0,0,17,0
KL Rahul,14.0,14,2,659,95*,54.91,416,158.41,0,6,0,66,32
AS Rajpoot,8.0,3,0,11,8,3.66,18,61.11,0,0,0,1,0
NJ Rimmington,1.0,1,1,1,1*,-,1,100.00,0,0,0,0,0
WP Saha,57.0,49,4,1115,115*,24.77,845,131.95,1,5,1,98,37
P Sahu,5.0,2,1,19,18*,19.00,13,146.15,0,0,0,1,1
N Saini,10.0,10,0,140,50,14.00,141,99.29,0,1,0,16,0
Sandeep Sharma,56.0,13,12,26,7,26.00,35,74.28,0,0,0,1,0
KC Sangakkara,37.0,34,2,1009,94,31.53,779,129.52,0,8,2,117,18
RR Sarwan,4.0,4,0,73,31,18.25,75,97.33,0,0,0,6,1
R Sathish,9.0,8,3,109,27*,21.80,77,141.55,0,0,1,9,5
V Sehwag,25.0,25,0,554,122,22.16,399,138.84,1,1,1,68,21
I Sharma,6.0,3,1,8,5*,4.00,12,66.66,0,0,0,1,0
MM Sharma,37.0,17,6,93,15,8.45,89,104.49,0,0,0,7,2
Shivam Sharma,5.0,2,1,5,4,5.00,3,166.66,0,0,0,1,0
VRV Singh,19.0,2,0,4,4,2.00,3,133.33,0,0,1,1,0
RS Sodhi,3.0,1,1,4,4*,-,2,200.00,0,0,0,1,0
S Sohal,11.0,10,0,119,43,11.90,101,117.82,0,0,2,9,8
BB Sran,6.0,4,3,3,2,3.00,7,42.85,0,0,0,0,0
S Sreesanth,28.0,8,7,32,15*,32.00,42,76.19,0,0,1,6,0
SJ Srivastava,14.0,4,3,5,3*,5.00,5,100.00,0,0,1,0,0
TM Srivastava,7.0,3,2,8,7,8.00,11,72.72,0,0,0,0,0
MP Stoinis,19.0,15,4,262,52,23.81,208,125.96,0,1,1,20,8
Sunny Singh,6.0,5,1,43,20,10.75,31,138.70,0,0,0,6,1
Swapnil Singh,5.0,3,0,12,10,4.00,20,60.00,0,0,1,0,0
R Tewatia,3.0,2,1,19,15*,19.00,11,172.72,0,0,0,4,0
SN Thakur,1.0,1,1,7,7*,-,6,116.66,0,0,0,1,0
J Theron,7.0,2,0,2,2,1.00,5,40.00,0,0,1,0,0
MK Tiwary,5.0,4,1,47,35,15.66,44,106.81,0,0,0,4,1
AJ Tye,14.0,8,2,32,14,5.33,38,84.21,0,0,2,2,1
PC Valthaty,21.0,21,1,499,120*,24.95,406,122.90,1,2,1,59,20
M Vijay,25.0,25,1,704,89,29.33,592,118.91,0,5,1,77,18
M Vohra,45.0,41,2,957,95,24.53,721,132.73,0,3,2,95,35
Yuvraj Singh,51.0,48,5,959,58*,22.30,750,127.86,0,3,0,75,51
S Ladda,5.0,2,1,0,0*,0.00,9,0.00,0,0,1,0,0
AR Bawne,1.0,1,1,12,12*,-,12,100.00,0,0,0,1,0
VR Aaron,12.0,3,1,1,1,0.50,8,12.50,0,0,1,0,0
Abhishek Sharma,3.0,3,2,63,46*,63.00,33,190.90,0,0,0,3,5
AB Agarkar,15.0,5,3,19,9*,9.50,22,86.36,0,0,1,1,0
MA Agarwal,21.0,21,1,355,68,17.75,293,121.16,0,2,1,38,11
CJ Anderson,11.0,11,4,142,41*,20.28,123,115.44,0,0,1,8,9
Avesh Khan,6.0,-,-,-,-,-,-,-,-,-,-,-,-
R Bhatia,22.0,11,1,66,21,6.60,63,104.76,0,0,2,4,4
SW Billings,11.0,10,0,226,55,22.60,168,134.52,0,2,1,23,5
TR Birt,5.0,5,0,75,27,15.00,58,129.31,0,0,0,9,2
J Botha,6.0,6,0,43,23,7.16,52,82.69,0,0,0,5,1
TA Boult,14.0,1,0,0,0,0.00,2,0.00,0,0,1,0,0
DAJ Bracewell,1.0,1,1,12,12*,-,9,133.33,0,0,0,1,0
CR Brathwaite,10.0,8,0,95,34,11.87,53,179.24,0,0,0,8,8
UBT Chand,13.0,13,0,196,41,15.07,204,96.07,0,0,3,19,7
B Chipli,1.0,1,0,16,16,16.00,18,88.88,0,0,0,1,1
DT Christian,4.0,3,1,26,13,13.00,33,78.78,0,0,0,0,1
PD Collingwood,8.0,7,2,203,75*,40.60,156,130.12,0,3,0,9,13
NM Coulter-Nile,17.0,8,4,29,7*,7.25,32,90.62,0,0,0,3,1
PJ Cummins,12.0,9,4,77,24,15.40,53,145.28,0,0,0,5,4
CJ Dala,1.0,-,-,-,-,-,-,-,-,-,-,-,-
Q de Kock,23.0,23,1,720,108,32.72,534,134.83,1,5,0,89,21
AB de Villiers,28.0,26,5,671,105*,31.95,572,117.30,1,3,2,51,13
S Dhawan,14.0,14,5,340,68*,37.77,295,115.25,0,4,1,35,8
TM Dilshan,27.0,26,4,566,67*,25.72,473,119.66,0,4,3,62,16
AB Dinda,6.0,1,0,0,0,0.00,5,0.00,0,0,1,0,0
JP Duminy,38.0,35,12,1015,78*,44.13,776,130.79,0,6,0,62,43
AJ Finch,8.0,8,0,102,30,12.75,97,105.15,0,0,2,11,3
G Gambhir,46.0,44,4,1182,86,29.55,962,122.86,0,9,2,140,13
CM Gautam,4.0,4,1,48,30,16.00,39,123.07,0,0,0,4,1
B Geeves,2.0,-,-,-,-,-,-,-,-,-,-,-,-
Sunny Gupta,1.0,1,0,0,0,0.00,1,0.00,0,0,1,0,0
MC Henriques,1.0,1,0,11,11,11.00,5,220.00,0,0,0,2,0
JR Hopes,10.0,8,3,196,55,39.20,158,124.05,0,2,0,22,3
Imran Tahir,20.0,5,1,18,5,4.50,23,78.26,0,0,0,3,0
CA Ingram,3.0,3,1,21,13*,10.50,26,80.76,0,0,0,2,0
SS Iyer,46.0,46,6,1218,96,30.45,938,129.85,0,10,5,108,53
KM Jadhav,41.0,37,14,566,63*,24.60,421,134.44,0,2,4,44,21
DPMD Jayawardene,31.0,30,3,666,66,24.66,611,109.00,0,5,1,78,9
MC Juneja,7.0,7,0,125,49,17.85,128,97.65,0,0,0,11,1
KD Karthik,56.0,49,8,1036,69,25.26,819,126.49,0,6,2,87,30
S Kaul,11.0,3,3,9,7*,-,11,81.81,0,0,0,0,0
Z Khan,30.0,5,2,10,4,3.33,26,38.46,0,0,0,1,0
S Lamichhane,3.0,-,-,-,-,-,-,-,-,-,-,-,-
AB McDonald,6.0,5,3,76,33*,38.00,63,120.63,0,0,0,3,2
GD McGrath,14.0,3,2,4,4*,4.00,5,80.00,0,0,1,1,0
MF Maharoof,20.0,14,4,177,39,17.70,123,143.90,0,0,2,12,9
VY Mahesh,13.0,5,3,15,6*,7.50,27,55.55,0,0,0,0,0
M Manhas,20.0,14,7,232,32*,33.14,211,109.95,0,0,2,21,1
AD Mathews,14.0,12,3,176,31,19.55,131,134.35,0,0,1,14,7
GJ Maxwell,14.0,14,1,175,47,13.46,131,133.58,0,0,0,14,9
BMAJ Mendis,3.0,3,0,23,12,7.66,27,85.18,0,0,1,0,0
A Mishra,81.0,28,13,164,31,10.93,193,84.97,0,0,3,8,4
Mohammad Asif,8.0,2,0,3,3,1.50,6,50.00,0,0,1,0,0
Mohammed Shami,32.0,13,6,48,21,6.85,41,117.07,0,0,1,5,2
JA Morkel,4.0,3,2,86,73*,86.00,65,132.30,0,1,0,9,2
M Morkel,37.0,15,6,100,23*,11.11,59,169.49,0,0,5,9,4
CH Morris,25.0,20,11,395,82*,43.88,229,172.48,0,2,1,33,20
C Munro,5.0,5,0,63,33,12.60,41,153.65,0,0,2,7,4
DJ Muthuswami,6.0,2,1,1,1,1.00,3,33.33,0,0,0,0,0
S Nadeem,61.0,19,7,32,6*,2.66,78,41.02,0,0,5,1,0
Y Nagar,26.0,20,6,285,44*,20.35,259,110.03,0,0,2,20,9
KK Nair,28.0,25,2,638,83*,27.73,523,121.98,0,4,1,79,12
DP Nannes,22.0,2,1,4,3,4.00,13,30.76,0,0,0,0,0
JDS Neesham,4.0,3,0,42,22,14.00,46,91.30,0,0,0,3,1
P Negi,17.0,10,6,93,19*,23.25,88,105.68,0,0,0,6,4
A Nehra,27.0,8,3,25,22*,5.00,29,86.20,0,0,3,2,1
NV Ojha,35.0,33,7,425,64*,16.34,399,106.51,0,1,2,33,24
RR Pant,38.0,38,3,1248,128*,35.65,767,162.71,1,8,4,115,67
WD Parnell,8.0,2,1,2,2,2.00,2,100.00,0,0,0,0,0
HV Patel,5.0,2,1,60,36*,60.00,33,181.81,0,0,0,1,6
IK Pathan,46.0,37,14,468,44*,20.34,416,112.50,0,0,2,35,15
KP Pietersen,19.0,19,4,599,103*,39.93,440,136.13,1,2,1,56,27
LE Plunkett,7.0,2,1,1,1*,1.00,3,33.33,0,0,1,0,0
K Rabada,6.0,3,0,55,44,18.33,64,85.93,0,0,1,5,1
BJ Rohrer,8.0,8,2,193,64*,32.16,140,137.85,0,1,0,21,5
JJ Roy,5.0,5,1,120,91*,30.00,94,127.65,0,1,0,9,7
AD Russell,7.0,4,0,58,31,14.50,40,145.00,0,0,0,3,3
AM Salvi,7.0,-,-,-,-,-,-,-,-,-,-,-,-
SV Samson,28.0,28,3,677,102,27.08,532,127.25,1,3,2,52,27
MN Samuels,5.0,4,0,29,27,7.25,31,93.54,0,0,1,1,2
GS Sandhu,3.0,-,-,-,-,-,-,-,-,-,-,-,-
PJ Sangwan,28.0,9,5,18,6*,4.50,29,62.06,0,0,2,0,0
V Sehwag,79.0,79,5,2174,119,29.37,1356,160.32,1,15,6,266,85
V Shankar,13.0,11,7,212,54*,53.00,148,143.24,0,1,0,11,11
R Sharma,2.0,-,-,-,-,-,-,-,-,-,-,-,-
PP Shaw,9.0,9,0,245,65,27.22,160,153.12,0,2,0,27,10
Shoaib Malik,7.0,5,1,52,24,13.00,47,110.63,0,0,0,5,0
LR Shukla,5.0,3,0,31,21,10.33,38,81.57,0,0,1,2,1
R Shukla,3.0,3,2,18,14,18.00,21,85.71,0,0,0,2,0
S Sriram,1.0,1,0,4,4,4.00,7,57.14,0,0,0,0,0
AP Tare,3.0,3,0,18,18,6.00,23,78.26,0,0,2,3,0
LRPL Taylor,16.0,16,3,256,55,19.69,230,111.30,0,1,1,18,7
R Tewatia,8.0,5,2,50,24,16.66,43,116.27,0,0,0,5,1
MK Tiwary,24.0,19,7,322,61*,26.83,272,118.38,0,1,2,39,5
SS Tiwary,7.0,6,6,109,28*,-,78,139.74,0,0,0,9,5
JD Unadkat,10.0,2,1,1,1*,1.00,6,16.66,0,0,1,0,0
RE van der Merwe,10.0,6,4,36,14,18.00,41,87.80,0,0,0,3,0
Y Venugopal Rao,25.0,21,3,468,60,26.00,406,115.27,0,1,0,38,18
DL Vettori,12.0,7,4,67,29,22.33,59,113.55,0,0,0,7,0
M Vijay,11.0,11,0,207,52,18.81,192,107.81,0,1,1,20,5
MS Wade,3.0,3,0,22,11,7.33,33,66.66,0,0,0,0,0
DA Warner,55.0,55,5,1435,109*,28.70,1078,133.11,2,10,5,146,58
J Yadav,10.0,2,0,6,5,3.00,10,60.00,0,0,0,0,0
UT Yadav,47.0,14,10,44,12*,11.00,54,81.48,0,0,2,3,1
Yuvraj Singh,14.0,13,0,248,57,19.07,210,118.09,0,2,1,23,10
Anand Rajan,6.0,-,-,-,-,-,-,-,-,-,-,-,-
Anirudh Singh,5.0,4,0,63,40,15.75,66,95.45,0,0,1,6,1
Ankit Sharma,9.0,4,1,18,15,6.00,13,138.46,0,0,0,0,2
A Ashish Reddy,9.0,5,1,35,10*,8.75,29,120.68,0,0,0,3,1
SB Bangar,11.0,7,1,47,17*,7.83,49,95.91,0,0,1,1,3
AA Bilakhia,7.0,7,2,69,22,13.80,85,81.17,0,0,0,5,0
B Chipli,19.0,17,6,244,61*,22.18,205,119.02,0,1,0,24,6
DT Christian,21.0,20,4,335,39,20.93,277,120.93,0,0,1,17,13
H Das,1.0,1,0,2,2,2.00,5,40.00,0,0,0,0,0
KH Devdhar,1.0,-,-,-,-,-,-,-,-,-,-,-,-
S Dhawan,29.0,29,3,969,95*,37.26,749,129.37,0,7,0,105,25
JP Duminy,19.0,19,6,449,74,34.53,364,123.35,0,3,0,22,19
FH Edwards,6.0,2,1,4,3*,4.00,5,80.00,0,0,0,0,0
HH Gibbs,33.0,33,3,805,69*,26.83,719,111.96,0,5,4,75,29
AC Gilchrist,46.0,46,1,1220,109*,27.11,828,147.34,1,7,4,136,64
MS Gony,9.0,3,1,4,4,2.00,10,40.00,0,0,1,0,0
Harmeet Singh,17.0,3,1,0,0*,0.00,1,0.00,0,0,2,0,0
DJ Harris,4.0,4,0,111,47,27.75,101,109.90,0,0,0,11,5
RJ Harris,16.0,10,5,66,15,13.20,57,115.78,0,0,0,2,2
IR Jaggi,5.0,5,1,43,25,10.75,58,74.13,0,0,0,3,0
Jaskaran Singh,8.0,5,4,8,4*,8.00,11,72.72,0,0,0,0,0
AA Jhunjhunwala,5.0,3,1,24,19,12.00,26,92.30,0,0,0,1,1
D Kalyankrishna,3.0,1,0,3,3,3.00,8,37.50,0,0,0,0,0
VVS Laxman,17.0,17,2,238,52,15.86,225,105.77,0,1,3,30,3
MJ Lumb,1.0,1,0,0,0,0.00,2,0.00,0,0,1,0,0
CA Lynn,1.0,1,0,6,6,6.00,9,66.66,0,0,0,1,0
I Malhotra,1.0,1,1,7,7*,-,4,175.00,0,0,0,1,0
MR Marsh,3.0,2,0,28,15,14.00,30,93.33,0,0,0,1,1
A Mishra,28.0,14,7,84,25*,12.00,69,121.73,0,0,4,10,1
MD Mishra,11.0,11,0,166,41,15.09,144,115.27,0,0,1,18,6
T Mishra,1.0,-,-,-,-,-,-,-,-,-,-,-,-
PP Ojha,54.0,14,6,6,2,0.75,19,31.57,0,0,5,0,0
PA Patel,14.0,13,2,194,45,17.63,165,117.57,0,0,1,19,4
V Pratap Singh,9.0,1,0,0,0,0.00,1,0.00,0,0,1,0,0
DB Ravi Teja,30.0,23,5,361,60,20.05,300,120.33,0,1,1,35,9
PA Reddy,5.0,4,1,73,42,24.33,59,123.72,0,0,0,6,2
KAJ Roach,2.0,1,0,10,10,10.00,9,111.11,0,0,0,1,0
BB Samantray,1.0,1,1,2,2*,-,2,100.00,0,0,0,0,0
KC Sangakkara,25.0,25,1,558,82,23.25,477,116.98,0,2,2,65,9
PM Sarvesh Kumar,2.0,1,1,1,1*,-,2,50.00,0,0,0,0,0
Shahid Afridi,10.0,9,1,81,33,10.12,46,176.08,0,0,1,7,6
I Sharma,12.0,5,5,4,1*,-,5,80.00,0,0,0,0,0
R Sharma,6.0,4,1,29,14*,9.66,26,111.53,0,0,1,3,1
RG Sharma,45.0,44,6,1170,76*,30.78,890,131.46,0,8,2,96,51
Shoaib Ahmed,8.0,3,1,1,1*,0.50,6,16.66,0,0,2,0,0
LPC Silva,3.0,3,1,40,23*,20.00,26,153.84,0,0,1,5,1
RP Singh,42.0,20,10,44,10,4.40,60,73.33,0,0,2,2,1
DR Smith,11.0,11,1,237,49,23.70,157,150.95,0,0,0,13,16
S Sohal,11.0,10,0,249,62,24.90,191,130.36,0,2,1,25,10
DW Steyn,24.0,11,2,55,13,6.11,56,98.21,0,0,0,3,1
SB Styris,10.0,9,2,126,36*,18.00,131,96.18,0,0,0,9,3
TP Sudhindra,3.0,1,1,0,0*,-,0,-,0,0,0,0,0
TL Suman,26.0,26,7,544,78*,28.63,447,121.70,0,2,2,41,20
B Sumanth,5.0,4,3,35,16,35.00,37,94.59,0,0,0,3,0
A Symonds,28.0,27,4,839,117*,36.47,612,137.09,1,5,0,65,38
J Theron,2.0,1,1,7,7*,-,6,116.66,0,0,0,1,0
WPUJC Vaas,13.0,11,3,81,20,10.12,73,110.95,0,0,3,2,3
Y Venugopal Rao,33.0,28,5,446,71*,19.39,367,121.52,0,2,2,31,19
DP Vijaykumar,9.0,2,2,1,1*,-,1,100.00,0,0,0,0,0
CL White,19.0,19,4,583,78,38.86,429,135.89,0,5,1,47,22
AS Yadav,8.0,6,1,49,16,9.80,39,125.64,0,0,1,5,2
DNT Zoysa,3.0,2,1,11,10*,11.00,9,122.22,0,0,0,1,0
S Ladda,1.0,-,-,-,-,-,-,-,-,-,-,-,-
AD Nath,5.0,4,0,20,12,5.00,28,71.42,0,0,1,1,0
SS Agarwal,1.0,-,-,-,-,-,-,-,-,-,-,-,-
Ankit Soni,7.0,3,1,7,7*,3.50,9,77.77,0,0,2,0,1
Basil Thampi,12.0,5,5,28,13*,-,28,100.00,0,0,0,1,1
DJ Bravo,15.0,13,5,99,22*,12.37,82,120.73,0,0,1,11,1
ER Dwivedi,4.0,2,0,24,19,12.00,14,171.42,0,0,0,2,2
JP Faulkner,15.0,11,4,131,32,18.71,116,112.93,0,0,0,11,0
AJ Finch,26.0,25,3,692,74,31.45,479,144.46,0,7,3,70,30
MS Gony,1.0,-,-,-,-,-,-,-,-,-,-,-,-
Ishan Kishan,16.0,15,0,319,61,21.26,247,129.14,0,1,1,34,13
RA Jadeja,27.0,25,12,349,36*,26.84,290,120.34,0,0,1,27,8
SB Jakati,8.0,1,1,1,1*,-,2,50.00,0,0,0,0,0
KD Karthik,30.0,28,5,696,65,30.26,525,132.57,0,5,2,68,14
S Kaushik,10.0,2,1,0,0*,0.00,1,0.00,0,0,1,0,0
DS Kulkarni,20.0,6,3,28,10,9.33,18,155.55,0,0,0,3,0
P Kumar,22.0,9,4,32,15,6.40,35,91.42,0,0,1,3,0
BB McCullum,27.0,27,0,673,72,24.92,479,140.50,0,3,1,67,34
MM Patel,2.0,1,0,0,0,0.00,1,0.00,0,0,1,0,0
IK Pathan,1.0,1,0,2,2,2.00,3,66.66,0,0,0,0,0
SK Raina,29.0,29,4,841,84,33.64,619,135.86,0,6,0,81,23
JJ Roy,3.0,3,1,59,31,29.50,40,147.50,0,0,0,9,1
PJ Sangwan,7.0,3,1,2,1*,1.00,4,50.00,0,0,1,0,0
NB Singh,2.0,-,-,-,-,-,-,-,-,-,-,-,-
DR Smith,24.0,24,2,563,74,25.59,377,149.33,0,5,3,67,24
DW Steyn,1.0,1,0,1,1,1.00,2,50.00,0,0,0,0,0
PV Tambe,7.0,1,1,7,7*,-,19,36.84,0,0,0,1,0
Tejas Baroka,1.0,-,-,-,-,-,-,-,-,-,-,-,-
AJ Tye,6.0,3,1,53,25,26.50,30,176.66,0,0,0,4,3
UA Birla,2.0,1,0,7,7,7.00,14,50.00,0,0,0,1,0
MJ Clarke,6.0,6,0,98,41,16.33,94,104.25,0,0,0,12,0
AB Dinda,20.0,6,3,11,6*,3.66,16,68.75,0,0,2,1,0
JP Faulkner,1.0,-,-,-,-,-,-,-,-,-,-,-,-
CJ Ferguson,9.0,8,2,98,23,16.33,117,83.76,0,0,0,9,0
AJ Finch,14.0,14,0,456,67,32.57,336,135.71,0,4,1,54,16
SC Ganguly,19.0,18,1,318,45,18.70,330,96.36,0,0,1,33,6
RV Gomez,2.0,1,1,4,4*,-,1,400.00,0,0,0,1,0
Harpreet Singh,3.0,3,1,20,13,10.00,26,76.92,0,0,0,0,0
AA Jhunjhunwala,3.0,2,0,10,10,5.00,18,55.55,0,0,1,2,0
Kamran Khan,1.0,-,-,-,-,-,-,-,-,-,-,-,-
M Kartik,17.0,7,6,38,14*,38.00,36,105.55,0,0,0,2,1
B Kumar,31.0,19,9,93,24*,9.30,112,83.03,0,0,1,7,1
NL McCullum,2.0,2,1,26,15,26.00,22,118.18,0,0,0,0,1
AP Majumdar,4.0,4,0,87,31,21.75,76,114.47,0,0,0,7,2
M Manhas,23.0,19,5,247,42*,17.64,236,104.66,0,0,4,19,8
MR Marsh,14.0,11,2,190,38,21.11,155,122.58,0,0,0,8,13
AD Mathews,20.0,18,4,299,40,21.35,247,121.05,0,0,1,10,14
BAW Mendis,3.0,1,0,2,2,2.00,4,50.00,0,0,0,0,0
MD Mishra,7.0,6,1,71,37*,14.20,64,110.93,0,0,0,6,2
SS Mundhe,1.0,-,-,-,-,-,-,-,-,-,-,-,-
AG Murtaza,4.0,2,1,8,5,8.00,9,88.88,0,0,0,1,0
AM Nayar,11.0,9,3,66,25*,11.00,73,90.41,0,0,1,5,0
A Nehra,13.0,2,2,11,9*,-,12,91.66,0,0,0,1,0
TD Paine,2.0,2,0,10,8,5.00,26,38.46,0,0,0,0,0
IC Pandey,2.0,1,0,0,0,0.00,2,0.00,0,0,1,0,0
MK Pandey,27.0,25,3,525,80*,23.86,476,110.29,0,3,5,51,15
WD Parnell,18.0,11,3,61,16,7.62,73,83.56,0,0,0,4,1
Parvez Rasool,2.0,2,1,5,4*,5.00,9,55.55,0,0,0,0,0
S Rana,2.0,1,0,18,18,18.00,16,112.50,0,0,0,2,0
M Rawat,2.0,2,1,5,5,5.00,11,45.45,0,0,0,0,0
KW Richardson,3.0,2,0,34,26,17.00,36,94.44,0,0,0,2,1
JD Ryder,24.0,24,1,548,86,23.82,409,133.98,0,4,2,60,19
MN Samuels,10.0,10,1,132,46,14.66,141,93.61,0,0,0,8,5
R Sharma,36.0,16,5,37,13,3.36,49,75.51,0,0,7,2,2
GC Smith,4.0,4,0,42,24,10.50,51,82.35,0,0,1,6,0
SPD Smith,22.0,21,8,521,47*,40.07,399,130.57,0,0,0,39,18
TL Suman,7.0,5,0,52,23,10.40,58,89.65,0,0,1,8,0
JE Taylor,5.0,2,1,3,2,3.00,3,100.00,0,0,0,0,0
LRPL Taylor,5.0,5,0,63,19,12.60,76,82.89,0,0,0,2,1
AC Thomas,15.0,4,2,20,12,10.00,19,105.26,0,0,0,1,1
K Upadhyay,3.0,2,2,12,11*,-,9,133.33,0,0,0,0,1
RV Uthappa,46.0,45,4,1103,75,26.90,923,119.50,0,4,2,107,32
SB Wagh,7.0,2,0,2,2,1.00,3,66.66,0,0,1,0,0
LJ Wright,7.0,6,1,106,44,21.20,60,176.66,0,0,0,16,3
Yuvraj Singh,27.0,26,4,581,66*,26.40,451,128.82,0,2,1,38,33
