player_name,matches_played,innings_bowled,overs_bowled,maidens_earned,runs_conceded,wickets_taken,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts_in_an_inns,five_wkts_in_an_inns,catches_taken,stumpings_made
SS Tiwary,10.0,-,-,-,-,-,-,-,-,-,-,-,4.0,0.0
RA Tripathi,14.0,1,1.0,0,12,0,-,-,12.00,-,0,0,5.0,0.0
JD Unadkat,12.0,12,45.5,3,322,24,5/30,13.41,7.02,11.4,0,1,9.0,0.0
Washington Sundar,11.0,10,30.0,0,185,8,3/16,23.12,6.16,22.5,0,0,5.0,0.0
A Zampa,11.0,11,36.5,0,278,19,6/19,14.63,7.54,11.6,0,1,0.0,0.0
S Ladda,3.0,3,6.0,0,60,1,1/18,60.00,10.00,36.0,0,0,1.0,0.0
AB Agarkar,27.0,27,79.0,0,694,18,3/25,38.55,8.78,26.3,0,0,2.0,0.0
Anureet Singh,3.0,2,5.0,0,47,2,2/35,23.50,9.40,15.0,0,0,0.0,0.0
Azhar Mahmood,1.0,1,3.0,0,41,0,-,-,13.66,-,0,0,0.0,0.0
L Balaji,35.0,35,124.3,2,920,33,4/18,27.87,7.38,22.6,1,0,6.0,0.0
SB Bangar,1.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
R Bhatia,46.0,43,129.0,0,931,32,3/22,29.09,7.21,24.1,0,0,10.0,0.0
MS Bisla,27.0,-,-,-,-,-,-,-,-,-,-,-,15.0,7.0
SE Bond,8.0,8,31.0,1,224,9,2/24,24.88,7.22,20.6,0,0,1.0,0.0
J Botha,4.0,4,10.0,0,81,1,1/32,81.00,8.10,60.0,0,0,4.0,0.0
MV Boucher,4.0,-,-,-,-,-,-,-,-,-,-,-,1.0,0.0
TA Boult,6.0,6,23.5,0,216,5,2/30,43.20,9.06,28.6,0,0,0.0,0.0
DM Bravo,1.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
KC Cariappa,1.0,1,2.0,0,28,1,1/28,28.00,14.00,12.0,0,0,0.0,0.0
PP Chawla,57.0,56,178.5,0,1436,56,4/32,25.64,8.02,19.1,1,0,13.0,0.0
A Chopra,7.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
NM Coulter-Nile,8.0,8,28.2,0,228,15,3/20,15.20,8.04,11.3,0,0,2.0,0.0
PJ Cummins,4.0,4,14.0,1,126,2,1/29,63.00,9.00,42.0,0,0,1.0,0.0
TK Curran,5.0,5,10.1,0,118,6,2/19,19.66,11.60,10.1,0,0,1.0,0.0
DB Das,31.0,-,-,-,-,-,-,-,-,-,-,-,7.0,0.0
C de Grandhomme,12.0,9,16.0,0,135,4,3/4,33.75,8.43,24.0,0,0,2.0,0.0
M de Lange,3.0,3,10.0,0,107,3,3/34,35.66,10.70,20.0,0,0,0.0,0.0
AB Dinda,29.0,27,86.1,0,605,22,3/33,27.50,7.02,23.5,0,0,2.0,0.0
P Dogra,1.0,-,-,-,-,-,-,-,-,-,-,-,1.0,0.0
G Gambhir,108.0,-,-,-,-,-,-,-,-,-,-,-,20.0,0.0
SC Ganguly,40.0,16,36.0,0,268,8,2/21,33.50,7.44,27.0,0,0,15.0,0.0
RS Gavaskar,2.0,1,1.0,0,8,0,-,-,8.00,-,0,0,0.0,0.0
CH Gayle,16.0,13,34.5,0,296,5,1/9,59.20,8.49,41.8,0,0,7.0,0.0
AN Ghosh,2.0,-,-,-,-,-,-,-,-,-,-,-,1.0,0.0
SP Goswami,5.0,-,-,-,-,-,-,-,-,-,-,-,4.0,1.0
BJ Haddin,1.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
Harpreet Singh,1.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
JW Hastings,2.0,2,6.4,1,37,2,2/6,18.50,5.55,20.0,0,0,0.0,0.0
MC Henriques,4.0,4,12.1,0,107,2,1/32,53.50,8.79,36.5,0,0,3.0,0.0
BJ Hodge,19.0,13,25.0,0,202,9,3/29,22.44,8.08,16.6,0,0,6.0,0.0
GB Hogg,11.0,11,37.0,1,286,13,4/29,22.00,7.72,17.0,1,0,3.0,0.0
JO Holder,4.0,4,13.0,0,103,2,2/33,51.50,7.92,39.0,0,0,0.0,0.0
DJ Hussey,23.0,13,27.0,0,244,2,1/23,122.00,9.03,81.0,0,0,10.0,0.0
Iqbal Abdulla,33.0,32,102.2,0,674,28,3/24,24.07,6.58,21.9,0,0,8.0,0.0
SP Jackson,4.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
IR Jaggi,2.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
MG Johnson,6.0,6,21.0,0,216,2,1/30,108.00,10.28,63.0,0,0,2.0,0.0
JH Kallis,56.0,48,153.0,1,1153,42,3/13,27.45,7.53,21.8,0,0,16.0,0.0
KD Karthik,16.0,-,-,-,-,-,-,-,-,-,-,-,14.0,4.0
M Kartik,26.0,25,87.4,0,581,16,3/17,36.31,6.62,32.8,0,0,10.0,0.0
Kuldeep Yadav,31.0,30,104.2,0,858,35,4/20,24.51,8.22,17.8,1,0,8.0,0.0
CK Langeveldt,4.0,4,15.0,0,103,8,3/15,12.87,6.86,11.2,0,0,0.0,0.0
B Lee,25.0,25,95.2,2,723,16,2/26,45.18,7.58,35.7,0,0,4.0,0.0
CA Lynn,27.0,-,-,-,-,-,-,-,-,-,-,-,8.0,0.0
BB McCullum,35.0,-,-,-,-,-,-,-,-,-,-,-,18.0,6.0
R McLaren,2.0,2,7.0,0,94,3,2/60,31.33,13.42,14.0,0,0,1.0,0.0
Mandeep Singh,3.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
Mashrafe Mortaza,1.0,1,4.0,0,58,0,-,-,14.50,-,0,0,0.0,0.0
AD Mathews,15.0,13,39.5,0,345,8,4/19,43.12,8.66,29.8,1,0,4.0,0.0
BAW Mendis,7.0,7,28.0,0,207,6,2/19,34.50,7.39,28.0,0,0,2.0,0.0
Mohammad Hafeez,8.0,4,10.0,0,68,2,1/8,34.00,6.80,30.0,0,0,1.0,0.0
Mohammed Shami,3.0,3,9.0,0,78,1,1/32,78.00,8.66,54.0,0,0,0.0,0.0
EJG Morgan,26.0,-,-,-,-,-,-,-,-,-,-,-,9.0,0.0
M Morkel,29.0,29,111.3,2,870,32,2/18,27.18,7.80,20.9,0,0,7.0,0.0
C Munro,4.0,2,2.0,0,15,0,-,-,7.50,-,0,0,2.0,0.0
SP Narine,98.0,97,381.5,2,2498,112,5/19,22.30,6.54,20.4,6,1,17.0,0.0
S Narwal,2.0,1,2.0,0,17,0,-,-,8.50,-,0,0,0.0,0.0
MK Pandey,55.0,-,-,-,-,-,-,-,-,-,-,-,23.0,0.0
MB Parmar,1.0,1,3.0,0,33,0,-,-,11.00,-,0,0,0.0,0.0
YK Pathan,106.0,45,91.0,1,674,21,3/20,32.09,7.40,26.0,0,0,25.0,0.0
RT Ponting,4.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
M Prasidh Krishna,7.0,7,28.0,0,260,10,4/30,26.00,9.28,16.8,1,0,1.0,0.0
CA Pujara,10.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
AS Rajpoot,9.0,9,25.0,0,205,7,3/37,29.28,8.20,21.4,0,0,1.0,0.0
N Rana,15.0,5,6.1,0,44,4,2/11,11.00,7.13,9.2,0,0,2.0,0.0
AD Russell,43.0,42,120.0,0,1022,43,4/20,23.76,8.51,16.7,1,0,16.0,0.0
WP Saha,33.0,-,-,-,-,-,-,-,-,-,-,-,13.0,5.0
Salman Butt,7.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
PJ Sangwan,3.0,3,8.0,0,93,1,1/42,93.00,11.62,48.0,0,0,0.0,0.0
SS Sarkar,2.0,2,4.1,0,34,1,1/15,34.00,8.16,25.0,0,0,0.0,0.0
R Sathish,4.0,3,6.0,0,59,1,1/20,59.00,9.83,36.0,0,0,0.0,0.0
JPR Scantlebury-Searles,4.0,3,7.0,0,89,2,1/24,44.50,12.71,21.0,0,0,4.0,0.0
SMSM Senanayake,8.0,8,32.0,1,209,9,2/26,23.22,6.53,21.3,0,0,2.0,0.0
OA Shah,5.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
SS Shaikh,2.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
Shakib Al Hasan,43.0,42,153.3,1,1101,43,3/17,25.60,7.17,21.4,0,0,8.0,0.0
I Sharma,31.0,31,110.1,1,862,25,2/15,34.48,7.82,26.4,0,0,4.0,0.0
Shivam Mavi,9.0,9,28.0,0,270,5,1/14,54.00,9.64,33.6,0,0,3.0,0.0
Shoaib Akhtar,3.0,3,7.0,0,54,5,4/11,10.80,7.71,8.4,1,0,0.0,0.0
Shubman Gill,13.0,-,-,-,-,-,-,-,-,-,-,-,3.0,0.0
LR Shukla,42.0,22,43.0,0,364,14,3/6,26.00,8.46,18.4,0,0,13.0,0.0
RK Singh,4.0,-,-,-,-,-,-,-,-,-,-,-,4.0,0.0
T Taibu,3.0,-,-,-,-,-,-,-,-,-,-,-,1.0,0.0
RN ten Doeschate,29.0,10,13.0,0,94,2,1/7,47.00,7.23,39.0,0,0,8.0,0.0
MK Tiwary,54.0,3,3.0,0,34,1,1/11,34.00,11.33,18.0,0,0,30.0,0.0
Umar Gul,6.0,6,22.3,1,184,12,4/23,15.33,8.17,11.2,1,0,0.0,0.0
JD Unadkat,12.0,11,34.2,0,316,10,3/26,31.60,9.20,20.6,0,0,3.0,0.0
RV Uthappa,74.0,-,-,-,-,-,-,-,-,-,-,-,32.0,22.0
MN van Wyk,5.0,-,-,-,-,-,-,-,-,-,-,-,7.0,0.0
R Vinay Kumar,11.0,11,35.5,0,346,9,2/26,38.44,9.65,23.8,0,0,3.0,0.0
CR Woakes,13.0,13,44.0,0,386,17,3/6,22.70,8.77,15.5,0,0,6.0,0.0
SA Yadav,54.0,1,1.0,0,8,0,-,-,8.00,-,0,0,25.0,0.0
UT Yadav,47.0,47,161.3,0,1393,48,4/33,29.02,8.62,20.1,1,0,12.0,0.0
Yashpal Singh,8.0,-,-,-,-,-,-,-,-,-,-,-,3.0,0.0
AN Ahmed,10.0,10,31.0,1,257,8,2/13,32.12,8.29,23.2,0,0,2.0,0.0
CJ Anderson,16.0,11,22.0,0,217,5,2/18,43.40,9.86,26.4,0,0,6.0,0.0
STR Binny,1.0,1,1.0,0,9,0,-,-,9.00,-,0,0,0.0,0.0
AC Blizzard,7.0,-,-,-,-,-,-,-,-,-,-,-,4.0,0.0
DJ Bravo,30.0,30,87.4,1,719,26,3/24,27.65,8.20,20.2,0,0,15.0,0.0
JJ Bumrah,61.0,61,227.0,3,1773,63,3/7,28.14,7.81,21.6,0,0,7.0,0.0
JC Buttler,24.0,-,-,-,-,-,-,-,-,-,-,-,8.0,0.0
YS Chahal,1.0,1,4.0,0,34,0,-,-,8.50,-,0,0,0.0,0.0
UBT Chand,7.0,-,-,-,-,-,-,-,-,-,-,-,3.0,0.0
SD Chitnis,3.0,2,6.0,0,60,2,2/40,30.00,10.00,18.0,0,0,1.0,0.0
NM Coulter-Nile,1.0,1,4.0,0,29,1,1/29,29.00,7.25,24.0,0,0,1.0,0.0
BCJ Cutting,9.0,7,17.0,0,168,2,1/12,84.00,9.88,51.0,0,0,7.0,0.0
A Dananjaya,1.0,1,4.0,0,47,0,-,-,11.75,-,0,0,0.0,0.0
M de Lange,2.0,2,8.0,1,62,2,2/32,31.00,7.75,24.0,0,0,0.0,0.0
R Dhawan,6.0,5,15.0,1,109,2,1/6,54.50,7.26,45.0,0,0,3.0,0.0
S Dhawan,15.0,-,-,-,-,-,-,-,-,-,-,-,6.0,0.0
JP Duminy,26.0,10,26.0,0,166,5,2/15,33.20,6.38,31.2,0,0,9.0,0.0
BR Dunk,3.0,-,-,-,-,-,-,-,-,-,-,-,3.0,0.0
CRD Fernando,10.0,10,39.0,0,298,17,4/18,17.52,7.64,13.7,1,0,3.0,0.0
AJ Finch,3.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
JEC Franklin,20.0,15,25.1,0,220,9,2/18,24.44,8.74,16.7,0,0,6.0,0.0
CM Gautam,9.0,-,-,-,-,-,-,-,-,-,-,-,3.0,3.0
HH Gibbs,3.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
S Gopal,6.0,6,19.1,0,154,7,2/25,22.00,8.03,16.4,0,0,1.0,0.0
MJ Guptill,3.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
Harbhajan Singh,136.0,134,486.3,5,3385,127,5/18,26.65,6.95,22.9,1,1,40.0,0.0
MEK Hussey,9.0,-,-,-,-,-,-,-,-,-,-,-,3.0,0.0
Ishan Kishan,14.0,-,-,-,-,-,-,-,-,-,-,-,9.0,2.0
DJ Jacobs,7.0,-,-,-,-,-,-,-,-,-,-,-,3.0,2.0
ST Jayasuriya,30.0,21,49.0,1,390,13,3/14,30.00,7.95,22.6,0,0,4.0,0.0
MG Johnson,22.0,22,84.0,1,600,31,3/26,19.35,7.14,16.2,0,0,8.0,0.0
KD Karthik,36.0,-,-,-,-,-,-,-,-,-,-,-,17.0,4.0
Z Khan,26.0,26,91.4,1,664,26,3/21,25.53,7.24,21.1,0,0,6.0,0.0
MA Khote,4.0,2,5.0,0,51,2,2/29,25.50,10.20,15.0,0,0,0.0,0.0
DS Kulkarni,33.0,33,106.1,1,846,36,3/18,23.50,7.96,17.6,0,0,6.0,0.0
P Kumar,3.0,3,12.0,0,78,3,2/31,26.00,6.50,24.0,0,0,0.0,0.0
RE Levi,6.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
E Lewis,13.0,-,-,-,-,-,-,-,-,-,-,-,3.0,0.0
MJ McClenaghan,51.0,51,194.2,0,1661,68,4/21,24.42,8.54,17.1,1,0,1.0,0.0
CJ McKay,2.0,2,7.0,0,60,1,1/36,60.00,8.57,42.0,0,0,0.0,0.0
R McLaren,10.0,10,34.0,0,270,4,2/28,67.50,7.94,51.0,0,0,2.0,0.0
C Madan,1.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
SL Malinga,110.0,110,426.2,8,2928,154,5/13,19.01,6.86,16.6,4,1,20.0,0.0
M Markande,14.0,14,44.0,0,368,15,4/23,24.53,8.36,17.6,1,0,3.0,0.0
GJ Maxwell,3.0,2,2.0,0,23,0,-,-,11.50,-,0,0,1.0,0.0
Mohammad Ashraful,1.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
AG Murtaza,8.0,8,32.0,0,208,6,2/18,34.66,6.50,32.0,0,0,2.0,0.0
Mustafizur Rahman,7.0,7,27.3,0,230,7,3/24,32.85,8.36,23.5,0,0,2.0,0.0
C Nanda,3.0,3,8.0,0,57,2,1/4,28.50,7.12,24.0,0,0,0.0,0.0
GR Napier,1.0,1,4.0,0,27,1,1/27,27.00,6.75,24.0,0,0,0.0,0.0
AM Nayar,30.0,9,19.0,0,152,5,3/13,30.40,8.00,22.8,0,0,9.0,0.0
A Nehra,14.0,14,44.5,0,348,12,3/13,29.00,7.76,22.4,0,0,7.0,0.0
A Nel,1.0,1,3.0,0,31,1,1/31,31.00,10.33,18.0,0,0,0.0,0.0
PP Ojha,38.0,37,130.2,1,1004,29,3/11,34.62,7.70,26.9,0,0,3.0,0.0
JDP Oram,1.0,1,4.0,0,22,0,-,-,5.50,-,0,0,0.0,0.0
MK Pandey,3.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
HH Pandya,50.0,44,102.2,0,923,28,3/24,32.96,9.01,21.9,0,0,32.0,0.0
KH Pandya,39.0,37,111.2,0,793,28,3/14,28.32,7.12,23.8,0,0,13.0,0.0
MM Patel,31.0,31,116.0,3,862,40,5/21,21.55,7.43,17.4,2,1,8.0,0.0
PA Patel,40.0,-,-,-,-,-,-,-,-,-,-,-,22.0,6.0
RV Pawar,1.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
NLTC Perera,2.0,2,2.3,0,27,0,-,-,10.80,-,0,0,2.0,0.0
RJ Peterson,5.0,4,8.0,0,70,3,3/37,23.33,8.75,16.0,0,0,1.0,0.0
KA Pollard,132.0,81,199.5,0,1770,56,4/44,31.60,8.85,21.4,1,0,74.0,0.0
SM Pollock,13.0,13,46.0,1,301,11,3/12,27.36,6.54,25.0,0,0,2.0,0.0
RT Ponting,6.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
RW Price,1.0,1,3.0,0,33,0,-,-,11.00,-,0,0,0.0,0.0
AM Rahane,10.0,1,1.0,0,5,1,1/5,5.00,5.00,6.0,0,0,1.0,0.0
RR Raje,10.0,10,23.1,0,209,6,2/16,34.83,9.02,23.1,0,0,3.0,0.0
N Rana,17.0,1,1.0,0,3,0,-,-,3.00,-,0,0,4.0,0.0
AT Rayudu,114.0,-,-,-,-,-,-,-,-,-,-,-,45.0,2.0
L Ronchi,5.0,-,-,-,-,-,-,-,-,-,-,-,4.0,0.0
PJ Sangwan,1.0,1,2.0,0,19,0,-,-,9.50,-,0,0,0.0,0.0
K Santokie,2.0,2,8.0,0,90,3,2/50,30.00,11.25,16.0,0,0,1.0,0.0
R Sathish,21.0,8,13.1,0,122,2,1/11,61.00,9.26,39.5,0,0,6.0,0.0
PR Shah,14.0,-,-,-,-,-,-,-,-,-,-,-,10.0,2.0
RA Shaikh,1.0,1,1.0,0,11,0,-,-,11.00,-,0,0,0.0,0.0
KV Sharma,9.0,9,30.4,0,214,13,4/16,16.46,6.97,14.1,1,0,3.0,0.0
RG Sharma,128.0,8,9.2,0,101,1,1/20,101.00,10.82,56.0,0,0,57.0,0.0
R Shukla,1.0,1,3.0,0,31,0,-,-,10.33,-,0,0,0.0,0.0
LMP Simmons,29.0,1,3.0,0,34,1,1/34,34.00,11.33,18.0,0,0,10.0,0.0
RP Singh,11.0,11,41.0,0,318,10,3/28,31.80,7.75,24.6,0,0,3.0,0.0
DR Smith,24.0,13,29.0,0,237,9,3/26,26.33,8.17,19.3,0,0,11.0,0.0
TG Southee,14.0,14,53.0,1,425,12,3/24,35.41,8.01,26.5,0,0,5.0,0.0
J Suchith,14.0,13,41.0,0,368,10,2/14,36.80,8.97,24.6,0,0,8.0,0.0
TL Suman,10.0,3,6.0,0,50,0,-,-,8.33,-,0,0,3.0,0.0
P Suyal,5.0,5,16.0,0,151,2,1/21,75.50,9.43,48.0,0,0,1.0,0.0
A Symonds,11.0,3,4.0,0,41,1,1/11,41.00,10.25,24.0,0,0,5.0,0.0
YV Takawale,11.0,-,-,-,-,-,-,-,-,-,-,-,11.0,3.0
AP Tare,29.0,-,-,-,-,-,-,-,-,-,-,-,2.0,5.0
SR Tendulkar,78.0,4,6.0,0,58,0,-,-,9.66,-,0,0,23.0,0.0
DJ Thornely,6.0,4,7.0,0,40,3,2/7,13.33,5.71,14.0,0,0,3.0,0.0
SS Tiwary,24.0,-,-,-,-,-,-,-,-,-,-,-,4.0,0.0
RV Uthappa,14.0,-,-,-,-,-,-,-,-,-,-,-,9.0,0.0
R Vinay Kumar,17.0,17,55.3,1,463,12,2/17,38.58,8.34,27.7,0,0,6.0,0.0
SA Yadav,15.0,-,-,-,-,-,-,-,-,-,-,-,8.0,0.0
VS Yeligati,2.0,2,5.0,0,59,0,-,-,11.80,-,0,0,0.0,0.0
Ankit Sharma,8.0,7,23.0,0,168,7,2/20,24.00,7.30,19.7,0,0,2.0,0.0
Anureet Singh,3.0,3,4.0,0,42,1,1/20,42.00,10.50,24.0,0,0,1.0,0.0
JC Archer,10.0,10,38.5,0,325,15,3/22,21.66,8.36,15.5,0,0,1.0,0.0
SA Asnodkar,20.0,-,-,-,-,-,-,-,-,-,-,-,6.0,0.0
S Badree,1.0,1,4.0,0,34,0,-,-,8.50,-,0,0,0.0,0.0
R Bhatia,14.0,14,43.0,0,329,12,3/23,27.41,7.65,21.5,0,0,5.0,0.0
STR Binny,64.0,42,68.0,0,521,16,2/14,32.56,7.66,25.5,0,0,15.0,0.0
J Botha,24.0,24,89.0,0,610,19,3/6,32.10,6.85,28.1,0,0,9.0,0.0
JC Buttler,13.0,-,-,-,-,-,-,-,-,-,-,-,9.0,1.0
LA Carseldine,5.0,1,1.0,0,6,1,1/6,6.00,6.00,6.0,0,0,4.0,0.0
